Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T,,BH,CPT,Bedrock?,Liquefiable?,Soft Soils?,DH,XH,SW,HVSR,Gravity,Reflection,Other,
340A,-40.38626942,175.6164783,42,D,283,0.2,Q3,McVerry (2011),0.96,0.3,Q3,I,McVerry (2011),78,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
464A,-41.2307867,174.9134661,2,D,214,0.1965,Q3,Foster et al. (2019) & Perrin et al. (2015),1.2,0.3,Q3,I,Boon et al. (2010),166,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
465A,-41.20578622,174.9543667,14,C,600,0.2,Q3,Kaiser et al. 2017,0.1,0.3,Q3,I,Kaiser et al. 2017,15,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
465B,-41.20578622,174.9543667,14,C,600,0.2,Q3,Kaiser et al. 2017,0.1,0.3,Q3,I,Kaiser et al. 2017,15,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
467A,-41.24248694,174.9023659,2,D,218,0.2,Q3,McVerry (2011),1.5,0.3,Q3,I,Boon et al. (2010),228,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
468A,-41.20108611,174.9546667,12,D,190,0.05,Q1,Kaiser & Louie (2006),0.9,0.3,Q3,I,Unpub HVSR (Kaiser),51,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
469A,-41.21208625,174.903166,6,D,222,0.2195,Q3,Foster et al. (2019) & Perrin et al. (2015),1.2,0.3,Q3,I,Boon et al. (2010),175,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
504A,-46.09869696,168.9458632,80,D,264,0.3605,Q3,Foster et al. (2019) & Perrin et al. (2015),0.7,0.2,Q2,I,Unpub HVSR (Van Houtte),63,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),775,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
505A,-42.94831943,171.5668155,740,C,300,0.1,Q2,McVerry (2011),0.4,0.2,Q2,Ms,McVerry (2011),30,0.1,Q2,1,Kaiser et al. (2017),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
507A,-45.10007459,170.9695962,8,C,312,0.2,Q3,McVerry (2011),0.38,0.3,Q3,I,McVerry (2011),53,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),1175,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
601A,-41.2262865,174.8718656,5,E,161,0.2,Q3,McVerry (2011),2.3,0.3,Q3,I,Boon et al. (2010),299,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
602C,-41.19028581,174.9279664,27,B,800,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),28,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
603B,-41.223721,174.859994,3,B,800,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),18,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
604A,-41.23048668,174.908966,1,D,224,0.2235,Q3,Foster et al. (2019) & Perrin et al. (2015),1.2,0.3,Q3,I,Boon et al. (2010),201,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
605B,-41.20748623,174.9406665,73,B,625,0.335,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,Mw,NSHM (2021),33,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0.27,0,,,,,,,,,,,,,,
606B,-41.23328677,174.9198662,28,B,607,0.3375,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),3,0.1,Q2,1,Boon et al. (2010),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
608A,-41.22408646,174.8793657,2,D,200,0.1,Q2,McVerry (2011),2,0.2,Q2,I,Unpub HVSR (Van Houtte),275,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
640A,-41.2349868,174.9146661,5,C,242,0.203,Q3,Foster et al. (2019) & Perrin et al. (2015),0.5,0.3,Q3,I,Kaiser et al. 2017,153,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
641A,-41.23128672,174.9168661,1,D,247,0.2145,Q3,Foster et al. (2019) & Perrin et al. (2015),0.6,0.3,Q3,I,Boon et al. (2010),68,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
642A,-41.2349868,174.9171661,4,C,350,0.05,Q1,Cousins et al. (2006),0.35,0.2,Q2,Mu,Cousins et al. (1996),58,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
642E,-41.23408678,174.9179661,3,C,350,0.05,Q1,Cousins et al. (2006),0.35,0.2,Q2,Mu,Cousins et al. (1996),39,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
642G,-41.234981,174.9171844,4,C,350,0.05,Q1,Cousins et al. (2006),0.35,0.2,Q2,Mu,Cousins et al. (1996),24,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
642H,-41.2349868,174.9171661,4,C,350,0.05,Q1,Cousins et al. (2006),0.35,0.2,Q2,Mu,Cousins et al. (1996),24,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
643B,-41.15128503,174.9793672,94,B,617,0.337,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),23,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
644C,-41.2186877,174.8825963,3,D,189,0.2,Q3,McVerry (2011),2,0.3,Q3,I,Boon et al. (2010),259,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
646A,-41.25708738,174.9481664,87,E,120,0.05,Q1,Kaiser & Louie (2006),1.6,0.1,Q1,Mu,Stephenson & Barker 1992,62,0.1,Q2,1,Kaiser et al. (2017),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
646B,-41.25628736,174.9479664,87,E,120,0.05,Q1,Kaiser & Louie (2006),1.6,0.1,Q1,Mu,Stephenson & Barker 1992,62,0.1,Q2,1,Kaiser et al. (2017),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
646C,-41.25628736,174.9479664,87,E,120,0.05,Q1,Kaiser & Louie (2006),1.6,0.1,Q1,Mu,Stephenson & Barker 1992,62,0.1,Q2,1,Kaiser et al. (2017),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
647A,-41.28708767,174.7779641,1,C,474,0.1,Q2,McVerry (2011),0.16,0.2,Q2,I,Kaiser et al. 2019,11,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
647D,-41.2875116,174.7769631,1,C,474,0.1,Q2,McVerry (2011),0.07,0.2,Q2,I,Kaiser et al. 2019,6,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
648A,-41.27748744,174.7734641,20,C,330,0.2,Q3,McVerry (2011),0.35,0.2,Q2,I,Kaiser et al. 2019,8,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
651A,-41.20468612,174.9232663,20,D,330,0.1,Q2,Kaiser & Louie (2006),1,0.3,Q3,I,Boon et al. (2010),138,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
705B,-41.13878445,174.8506657,19,C,570,0.2,Q3,McVerry (2011),0.15,0.3,Q3,I,McVerry (2011),33,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
706A,-41.12878419,174.8381655,3,C,251,0.3015,Q3,Foster et al. (2019) & Perrin et al. (2015),0.5,0.2,Q2,Mu,Taber & Smith 1991,48,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
707A,-41.13908445,174.8501657,22,C,570,0.2,Q3,McVerry (2011),0.15,0.3,Q3,I,McVerry (2011),33,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
708A,-41.13128425,174.8389655,3,C,275,0.2,Q3,McVerry (2011),0.4,0.1,Q1,Ms,Manea et al. 2021 unpublished,25,0.5,Q2,1,Kaiser et al. (2017),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
709A,-38.62743789,177.9205131,9,E,156,0.0183,Q1,Stolte et al. 2021 unpublished,1.499,0.2122,Q1,I,Stolte et al. 2021 unpublished,180,0.236,Q2,1,Stolte et al. 2021 unpublished,9225,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
711A,-41.22998666,174.904666,1,D,220,0.2105,Q3,Foster et al. (2019) & Perrin et al. (2015),1.4,0.3,Q3,I,Boon et al. (2010),200,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
712A,-37.96102318,176.985204,5,D,206,0.206,Q3,Foster et al. (2019) & Perrin et al. (2015),0.71,0.1,Q1,Mw,Manea et al. 2021 unpublished,88,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
713A,-41.12569412,174.8392396,3,D,251,0.3015,Q3,Foster et al. (2019) & Perrin et al. (2015),0.6,0.3,Q3,Mu,Kaiser et al. 2017,58,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
900B,-41.29208779,174.7789641,3,D,267,0.1,Q2,McVerry (2011),1,0.2,Q2,I,Kaiser et al. 2019,119,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
900C,-41.28908772,174.7798641,2,D,250,0.2,Q3,McVerry (2011),0.77,0.2,Q2,I,Kaiser et al. 2019,61,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
902A,-41.27755446,174.7792582,9,D,275,0.1,Q2,McVerry (2011),1.1,0.2,Q2,I,Kaiser et al. 2019,108,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
907A,-41.27878748,174.7784642,2,D,250,0.1,Q2,McVerry (2011),1.05,0.2,Q2,I,Kaiser et al. 2019,95,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
911A,-41.2885877,174.7768641,3,C,358,0.1,Q2,McVerry (2011),0.25,0.2,Q2,I,Kaiser et al. 2019,15,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
912A,-41.32628865,174.8084644,6,D,239,0.1,Q2,McVerry (2011),1.12,0.03,Q1,Mw,Stolte et al. 2021 unpublished,66,0.05,Q2,1,Stolte et al. 2021 unpublished,325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
913A,-41.28748767,174.7726641,53,B,1000,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,Semmens et al. (2010),0,0.1,Q2,1,Hill et al. (2021),325,0.5,Q3,NZVM (2021),0,0.15,0,,,,,,,,,,,,,,
914A,-41.29498784,174.773464,16,C,282,0.1,Q2,McVerry (2011),0.49,0.2,Q2,I,Kaiser et al. 2019,41,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
914B,-41.29498784,174.773464,16,C,282,0.1,Q2,McVerry (2011),0.49,0.2,Q2,I,Kaiser et al. 2019,41,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
914C,-41.29468784,174.7740641,15,C,278,0.163,Q3,Foster et al. (2019) & Perrin et al. (2015),0.57,0.2,Q2,I,Kaiser et al. 2019,43,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
916A,-41.29408783,174.7756641,12,D,291,0.1,Q2,McVerry (2011),0.75,0.2,Q2,I,Kaiser et al. 2019,81,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
918B,-41.28408758,174.768164,122,B,1000,0.2,Q3,NSHM 2021,0.05,0.3,Q3,Mw,NSHM (2021),15,0.3,Q3,1,NSHM (2021) ,325,0.5,Q3,NZVM (2021),0,0.3,0,,,,,,,,,,,,,,
918C,-41.28448759,174.768164,124,B,1000,0.2,Q3,NSHM 2021,0.05,0.3,Q3,Mw,NSHM (2021),15,0.3,Q3,1,NSHM (2021) ,325,0.5,Q3,NZVM (2021),0,0.3,0,,,,,,,,,,,,,,
919A,-41.29358782,174.7768641,8,D,307,0.1,Q2,McVerry (2011),0.92,0.2,Q2,I,Kaiser et al. 2019,108,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
920A,-41.30878818,174.7798641,19,C,245,0.2525,Q3,Foster et al. (2019) & Perrin et al. (2015),0.25,0.1,Q1,Mu,Taber & Richardson 1992,28,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
921A,-41.27748744,174.7734641,20,C,330,0.2,Q3,McVerry (2011),0.35,0.2,Q2,I,Kaiser et al. 2019,8,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
925A,-41.26578352,173.2773453,3,D,350,0.2,Q3,Tracey & Wotherspoon (2021),0.8,0.3,Q3,I,Kaiser et al. 2017,52,0.3,Q3,1,Kaiser et al. (2017),2825,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
926A,-39.48825317,176.9168978,17,C,429,0.2,Q3,NSHM 2021,0.07,0.3,Q3,I,McVerry (2011),14,0.05,Q1,1,Site Investigation Data,6625,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
928B,-39.67105689,176.8801967,22,D,256,0.0196,Q1,Stolte et al. 2021 unpublished,2.65,0.07,Q1,Ms,Stolte et al. 2021 unpublished,302,0.0696,Q2,1,Stolte et al. 2021 unpublished,5625,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
930A,-37.98852336,176.829402,5,D,166,0.24,Q3,Foster et al. (2019) & Perrin et al. (2015),2,0.3,Q3,I,Kaiser et al. 2017,193,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
931B,-38.08572492,176.7030001,31,D,320,0.2,Q3,McVerry (2011),0.63,0.3,Q3,I,McVerry (2011),58,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
933B,-37.69871651,176.1581949,19,D,229,0.2,Q3,McVerry (2011),3.1,0.2,Q2,I,Wotherspoon unpublished,141,0.229,Q2,1,Stolte et al. 2021 unpublished,775,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
934B,-41.24358698,174.907966,1,D,180,0.05,Q1,Kaiser & Louie (2006),1.1,0.3,Q3,I,Boon et al. (2010),183,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
935A,-41.21078622,174.9046661,5,D,223,0.2195,Q3,Foster et al. (2019) & Perrin et al. (2015),1.2,0.3,Q3,I,Boon et al. (2010),173,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
935B,-41.21078622,174.9046661,5,D,223,0.2195,Q3,Foster et al. (2019) & Perrin et al. (2015),1.2,0.3,Q3,I,Boon et al. (2010),173,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
935C,-41.21078622,174.9046661,5,D,223,0.2195,Q3,Foster et al. (2019) & Perrin et al. (2015),1.2,0.3,Q3,I,Boon et al. (2010),173,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
940A,-45.0316659,168.6630661,316,D,354,0.2,Q3,McVerry (2011),1.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,73,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
941A,-41.29208779,174.7789641,3,D,272,0.1,Q2,McVerry (2011),1.03,0.2,Q2,I,Kaiser et al. 2019,119,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
ADCS,-43.9024444,171.747563,103,D,431,0.243,Q3,Foster et al. (2019),5.8,0.2,Q2,I,Manea et al. 2021 unpublished,1135,0.3,Q3,1,NZVM (2021),2175,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
AICS,-42.76818509,171.6243571,100,D,299,0.288,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.3,Q3,I,Kaiser et al. 2017,63,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),225,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
AKSS,-43.81091,172.96349,266,C,435,0.05,Q1,Unpublished MASW (C. Van Houtte),0.3,0.1,Q1,Mw,Kaiser et al. (2013),10,0.1,Q2,1,Kaiser et al. (2017),1425,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
AMBC,-43.15467772,172.7308795,339,D,240,0.243,Q3,Foster et al. (2019),6.2,0.1,Q1,I,Stolte et al. 2021,845,0.3,Q3,1,NZVM (2021),2075,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
APPS,-42.94894944,171.5677355,19,C,300,0.1,Q2,McVerry (2011),0.44,0.1,Q1,Ms,Manea et al. 2021 unpublished,30,0.1,Q2,1,Kaiser et al. (2017),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
ARKS,-41.24207703,174.9440964,376,C,267,0.271,Q3,Foster et al. (2019) & Perrin et al. (2015),0.37,0.1,Q1,Mw,Manea et al. 2021 unpublished,20,0.1,Q2,1,Kaiser et al. (2017),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
ARPS,-42.52395847,171.4078656,42,D,307,0.3235,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.2,Q2,Mw,Unpub HVSR (Van Houtte),98,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),725,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
ASHS,-43.27441041,172.5959472,177,D,287,0.243,Q3,Foster et al. (2019),5.46,0.1,Q1,I,Stolte et al. 2021,1085,0.3,Q3,0,NZVM (2021),3325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
AVIS,-44.65522063,170.3569606,139,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),28,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
BDCS,-46.24906366,169.7193727,738,C,549,0.3735,Q3,Foster et al. (2019) & Perrin et al. (2015),0.17,0.1,Q1,Ms,Manea et al. 2021 unpublished,35,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
BENS,-44.562968,170.192979,564,B,800,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),28,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
BFZ,-40.67964728,176.2462451,405,B,800,0.2,Q3,NSHM 2021,0.04,0.1,Q1,Mw,Manea et al. 2021 unpublished,0,0.1,Q2,1,Kaiser et al. (2017),325,0.5,Q3,NZVM (2021),0,0.83,0,,,,,,,,,,,,,,
BKZ,-39.16566564,176.4925437,451,B,730,0.281,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,0,0.1,Q1,1,Kaiser et al. (2017),1475,0.5,Q3,NZVM (2021),1,0,0,,,,,,,,,,,,,,
BMTS,-41.191372,174.92603,217,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,275,0.5,Q3,NZVM (2021),1,0,0,,,,,,,,,,,,,,
BTWS,-41.38923599,173.1285128,93,D,500,0.2,Q3,Tracey & Wotherspoon (2021),0.7,0.3,Q3,I,Unpub HVSR (Kaiser),40,0.3,Q3,1,Kaiser et al. (2017),625,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
BWHS,-43.480415,172.6821837,80,D,203,0.175,Q3,Foster et al. (2019),5.5,0.1,Q1,I,Stolte et al. 2021,715,0.3,Q3,0,NZVM (2021),2625,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
BWRS,-41.43954404,173.9051179,39,B,679,0.317,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,5,0.5,Q3,1,Kaiser et al. (2017),325,0.5,Q3,NZVM (2021),0,0.22,0,,,,,,,,,,,,,,
CACS,-43.48317559,172.5300153,266,D,435,0.05,Q1,Wotherspoon et al. 2015,6.79,0.1,Q1,Ma,Stolte et al. 2021,595,0.3,Q3,0,NZVM (2021),2675,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
CBGS,-43.52934701,172.6198762,63,D,197,0.05,Q1,Wotherspoon et al. 2015,4.35,0.1,Q1,I,Stolte et al. 2021,545,0.3,Q3,0,NZVM (2021),2375,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
CCCC,-43.538085,172.647427,234,D,182,0.05,Q1,Wotherspoon et al. 2015,2.51,0.1,Q1,Ma,Stolte et al. 2021,495,0.3,Q3,0,NZVM (2021),2075,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
CCPS,-43.53223712,172.6323264,236,D,182,0.132,Q3,Foster et al. (2019),2.7,0.2,Q2,I,Stolte et al. 2021,555,0.3,Q3,0,NZVM (2021),2275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
CECS,-42.81349055,173.2748682,877,D,244,0.222,Q3,Foster et al. (2019) & Perrin et al. (2015),2.2,0.3,Q3,Mw,Kaiser et al. (2013),233,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),4325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
CHHC,-43.535929,172.627523,46,D,196,0.05,Q1,Wotherspoon et al. 2015,2.66,0.2,Q2,I,Stolte et al. 2021,515,0.3,Q3,0,NZVM (2021),2175,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
CMHS,-43.56561796,172.6241761,277,D,213,0.05,Q1,Wotherspoon et al. 2015,0.695,0.1,Q1,Mw,Stolte et al. 2021,125,0.3,Q3,0,NZVM (2021),1625,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
CPFS,-40.89876213,176.2209639,287,C,245,0.2835,Q3,Foster et al. (2019) & Perrin et al. (2015),0.33,0.1,Q1,Mw,Unpub HVSR (Van Houtte),10,0.1,Q2,1,Kaiser et al. (2017),8625,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
CRLZ,-43.574741,172.6232219,832,B,900,0.1,Q2,van Houtte et al. 2012,0.05,0.3,Q3,Mw,NSHM (2021),0,0.1,Q1,1,Kaiser et al. (2017),1525,0.3,Q3,NZVM (2021),0,0.9,0,,,,,,,,,,,,,,
CSBF,-45.293067,166.869341,80,A,1500,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),0,0.5,Q3,1,Kaiser et al. (2017),375,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
CSHS,-43.22652687,171.7235561,713,D,377,0.417,Q3,Foster et al. (2019),1.95,0.1,Q1,Mw,Manea et al. 2021 unpublished,58,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
CSTC,-43.31229082,172.3813342,340,D,399,0.5,Q3,Foster et al. (2019),6.04,0.1,Q1,I,Stolte et al. 2021,575,0.3,Q3,0,NZVM (2021),2825,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
CUBS,-41.295463,174.774381,42,D,278,0.1765,Q3,Foster et al. (2019) & Perrin et al. (2015),0.63,0.2,Q2,Mw,Kaiser et al. 2019,47,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
CULC,-42.759438,172.8026023,1247,D,407,0.028,Q1,Stolte et al. 2021 unpublished,2.4,0.1,Q1,I,Stolte et al. 2021 unpublished,70,0.195,Q2,0,Stolte et al. (2021) unpublished,475,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
CVZ,-44.38318,171.00616,303,A,1500,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,0,0.3,Q3,1,Kaiser et al. (2017),1525,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
D07C,-43.51728,172.67574,251,D,186,0.15,Q3,Foster et al. (2019),5.2,0.2,Q2,I,Stolte et al. 2021,585,0.3,Q3,1,NZVM (2021),2275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
D13C,-43.606541,172.644913,259,B,1000,0.2,Q3,NSHM 2021,0.05,0.3,Q3,Mw,NSHM (2021),15,0.3,Q3,1,NSHM (2021) ,1575,0.3,Q3,NZVM (2021),0,0.3,0,,,,,,,,,,,,,,
